transactionID,carrierID,customerID,amount,date
102,3,630,18.7,2008-01-13 11:59:19
103,2,439,16.45,2008-03-11 02:19:46
104,1,600,9.9,2007-04-09 09:28:14
105,1,769,8.72,2009-07-08 20:23:37
106,2,615,7.45,2006-01-20 14:24:16
107,1,638,15.66,2007-10-30 00:57:53
108,1,882,14.77,2005-11-16 04:40:27
109,1,535,16.98,2009-10-19 20:41:58
110,2,383,6.42,2006-10-26 11:09:41
111,1,37,19.92,2007-11-01 02:17:47
112,1,796,14.35,2008-08-26 20:11:56
113,3,437,12.29,2009-06-03 21:47:58
114,1,117,5.03,2008-11-12 16:41:15
115,2,153,17.09,2008-12-11 10:08:56
116,2,681,6.27,2007-01-22 12:25:44
117,1,635,11.79,2007-04-28 18:53:17
118,3,270,14.79,2007-02-12 07:34:22
119,3,20,18.25,2006-03-19 09:22:07
120,3,125,7.57,2007-08-31 10:52:38
121,2,103,17.48,2006-09-26 04:24:58
122,1,915,10.46,2007-12-08 22:32:37
123,1,149,5.18,2008-05-11 01:28:58
124,2,45,15.24,2006-12-16 10:42:47
125,2,19,18.54,2008-04-04 04:11:10
126,3,614,13.05,2007-04-22 09:58:27
127,3,199,6.87,2005-09-08 22:29:30
128,1,568,6.13,2006-07-07 17:16:56
129,1,380,10.18,2008-05-07 16:14:59
130,1,596,6.75,2008-09-10 12:30:23
131,2,908,16.22,2007-06-12 11:55:14
132,1,961,16.75,2009-05-16 09:58:48
133,1,457,7.95,2005-01-04 15:51:44
134,3,733,9.64,2008-01-24 05:34:03
135,1,796,18.31,2009-07-25 00:37:32
136,2,342,6.83,2007-01-17 22:09:39
137,3,925,7.77,2005-03-17 23:00:24
138,1,777,15.92,2009-10-27 19:46:14
139,2,494,19.85,2009-11-30 03:35:22
140,1,309,18.82,2007-07-20 17:40:46
141,2,547,8.35,2009-09-12 07:15:01
142,1,307,14.77,2009-12-05 04:34:43
143,1,58,14.67,2008-05-05 10:26:30
144,2,675,19.86,2007-03-11 10:14:50
145,3,323,19.09,2008-03-07 04:07:29
146,3,233,14.7,2005-08-19 12:37:37
147,2,29,11.1,2006-06-28 08:42:58
148,2,60,13.89,2009-09-24 17:42:37
149,1,796,16.53,2006-09-07 22:53:10
150,2,93,8.08,2006-03-12 01:01:00
151,3,603,18.13,2008-11-20 10:38:44
152,1,30,18.12,2006-08-09 03:19:20
153,2,837,18.27,2005-10-02 00:05:24
154,2,707,13.7,2008-09-30 14:16:16
155,3,194,13.81,2006-11-02 05:10:35
156,1,99,17.66,2006-04-07 22:52:19
157,2,531,6.97,2008-09-21 00:32:39
158,1,25,19.09,2007-01-05 02:07:34
159,3,740,10.75,2005-01-17 14:54:12
160,1,791,9.94,2006-10-11 12:30:48
161,1,524,13.72,2007-04-08 08:06:50
162,3,307,17.35,2008-06-11 18:51:00
163,2,604,12.15,2006-03-01 11:35:46
164,3,872,9.68,2005-09-18 14:40:29
165,2,542,15.53,2006-06-13 18:21:44
166,3,839,19.37,2005-05-05 16:27:27
167,2,703,19.39,2007-05-17 15:11:51
168,3,889,17.97,2007-04-03 16:56:07
169,1,823,19.4,2008-05-11 17:17:18
170,2,301,19.07,2009-11-21 18:11:52
171,1,21,14.68,2008-02-17 09:28:50
172,3,920,6.13,2006-07-21 07:34:58
173,1,50,9.1,2006-10-16 17:27:35
174,2,196,11.9,2005-08-04 23:16:47
175,2,528,12.35,2005-10-20 06:57:42
176,1,118,15.78,2007-01-23 12:22:17
177,2,310,14.4,2007-10-27 19:12:40
178,3,916,10.32,2005-10-24 06:42:39
179,3,984,18.74,2005-09-01 00:02:57
180,2,612,8.82,2006-12-10 23:50:11
181,3,556,19.76,2005-12-30 03:08:20
182,3,304,16.56,2005-04-17 23:11:30
183,3,783,14.79,2007-06-26 21:38:24
184,3,993,15.3,2009-08-16 04:05:06
185,1,464,7.57,2008-09-14 08:50:31
186,1,546,18.1,2005-04-01 10:48:55
187,1,494,15.79,2007-10-10 14:58:01
188,1,284,5.01,2009-12-12 02:37:53
189,2,290,16.35,2007-10-31 03:57:58
190,1,321,16.79,2005-04-30 11:18:58
191,2,654,19.37,2008-01-26 09:43:21
192,1,257,19.82,2008-12-15 12:37:46
193,1,155,13.35,2005-07-07 20:11:25
194,1,446,10.93,2009-10-09 12:32:35
195,2,202,7.62,2008-03-04 19:20:05
196,3,353,15.07,2009-08-22 08:22:44
197,3,616,10.69,2007-03-26 16:58:00
198,2,68,15.91,2009-08-13 17:39:49
199,1,956,7.33,2006-09-09 07:53:52
200,2,423,14.61,2008-12-25 22:00:47
201,2,561,17.34,2008-11-09 16:20:09
202,2,176,17.23,2008-10-07 21:22:51
203,1,369,5.7,2006-07-03 23:19:15
204,2,957,15.41,2007-03-01 01:25:42
205,2,811,16.1,2008-09-27 23:09:43
206,3,748,18.68,2005-06-10 20:15:10
207,1,991,6.98,2009-04-30 03:18:22
208,2,787,11.47,2009-05-31 23:54:24
209,2,265,12.79,2005-04-21 19:26:23
210,3,380,15.13,2009-04-19 17:54:48
211,2,571,10.6,2005-11-17 02:06:22
212,2,946,6.64,2008-03-24 06:49:03
213,2,266,11.39,2008-09-24 09:36:51
214,2,223,8.88,2007-03-23 12:53:57
215,2,992,9.89,2007-12-28 00:18:35
216,2,726,10.2,2008-02-24 19:05:14
217,1,847,6.66,2005-12-01 07:25:21
218,2,224,15.99,2009-10-24 10:10:35
219,1,286,10.85,2008-04-24 04:55:45
220,3,912,9.1,2005-11-19 14:21:04
221,3,554,12.53,2009-07-16 22:54:59
222,2,892,15.38,2007-10-03 04:17:18
223,3,83,7.52,2005-01-12 17:43:16
224,3,64,17.89,2008-04-13 05:25:28
225,2,261,17.26,2006-01-10 18:42:14
226,2,323,19.12,2006-10-10 15:25:19
227,2,592,12.19,2007-07-28 09:08:40
228,3,625,17.1,2007-07-04 10:54:23
229,2,46,6.99,2008-12-30 14:04:29
230,3,884,11.15,2009-12-07 04:17:12
231,1,957,10.8,2005-01-10 23:18:02
232,1,989,5.74,2006-06-09 05:36:01
233,2,373,9.26,2005-07-02 08:31:49
234,3,469,8.67,2008-11-20 21:51:20
235,1,640,10.54,2005-11-09 16:41:31
236,1,618,14.9,2005-06-09 16:26:28
237,2,789,6.17,2006-05-26 02:41:14
238,2,392,6.98,2009-10-04 23:31:47
239,2,159,17.72,2009-12-05 14:01:25
240,2,677,10.18,2005-07-04 10:18:49
241,1,656,17.54,2006-11-03 10:01:54
242,3,643,10.88,2005-05-10 16:43:29
243,1,872,17.97,2008-03-19 22:16:14
244,2,239,11.68,2007-03-25 06:07:38
245,1,402,16.94,2006-04-15 12:10:11
246,3,511,15.25,2005-01-31 19:50:59
247,2,342,14.5,2009-12-31 07:15:56
248,1,917,9.94,2008-05-18 15:06:52
249,1,767,14.14,2007-04-28 09:24:16
250,3,200,18.87,2005-07-25 03:36:13
251,2,578,10.17,2007-11-02 06:07:18
252,1,173,13.99,2009-09-08 14:16:33
253,3,737,12.71,2006-07-30 11:07:17
254,2,679,7.39,2005-02-22 06:40:41
255,2,633,14.7,2006-11-26 14:06:43
256,1,503,9.35,2005-10-07 17:53:59
257,2,229,8.67,2008-11-15 05:42:56
258,2,895,8.01,2009-11-10 17:16:21
259,3,922,8.81,2009-12-05 16:05:14
260,3,380,10.89,2008-02-06 13:13:34
261,1,968,7.94,2005-09-10 00:26:50
262,2,145,11.03,2007-06-04 13:34:24
263,1,981,11.58,2008-08-18 04:07:16
264,1,902,15.66,2005-04-02 06:56:20
265,1,10,16.29,2007-07-01 14:17:36
266,1,278,15.11,2006-10-05 04:44:40
267,3,806,9.69,2007-12-06 05:10:30
268,1,398,5.0,2007-05-05 00:59:07
269,2,934,18.85,2008-09-14 14:50:48
270,1,126,10.2,2006-06-01 03:33:46
271,2,512,19.72,2007-12-17 02:47:11
272,3,777,17.16,2007-03-08 11:51:20
273,1,560,11.19,2009-07-20 05:20:04
274,3,746,10.79,2009-08-06 02:29:45
275,3,756,12.67,2009-02-28 01:28:28
276,3,402,19.34,2008-02-15 23:57:38
277,1,525,19.74,2006-05-23 13:42:56
278,3,418,19.29,2006-03-18 00:07:49
279,2,296,12.26,2009-03-03 14:34:21
280,3,896,14.51,2009-10-13 14:23:28
281,3,977,5.77,2007-04-02 02:11:18
282,3,852,16.11,2005-08-06 23:37:13
283,3,680,9.62,2005-03-23 15:17:52
284,3,24,19.58,2008-07-05 03:20:12
285,1,202,19.87,2008-04-28 02:00:08
286,2,922,18.97,2009-02-04 21:26:17
287,1,837,5.63,2007-06-22 10:43:45
288,1,657,17.04,2005-01-09 13:44:16
289,3,665,13.61,2009-08-24 15:43:42
290,1,921,17.65,2007-06-05 21:52:24
291,3,942,18.19,2006-10-05 20:11:44
292,3,515,15.16,2006-02-11 05:21:54
293,3,59,18.44,2007-07-23 15:38:42
294,2,223,13.61,2009-04-18 04:27:29
295,2,558,9.92,2009-09-15 08:47:40
296,3,581,18.39,2008-09-30 09:53:17
297,1,305,16.2,2009-03-13 11:57:38
298,1,423,7.41,2005-03-31 06:07:30
299,1,614,11.97,2009-03-22 15:54:54
300,3,604,9.93,2009-10-19 15:35:28
301,2,810,16.99,2006-01-15 21:50:20
302,3,806,18.11,2008-09-16 18:48:20
303,1,453,6.33,2006-06-10 16:37:45
304,2,94,8.6,2007-04-29 20:18:57
305,2,543,11.94,2009-09-02 01:04:31
306,1,903,17.85,2008-02-17 05:26:40
307,2,329,17.03,2006-04-02 22:10:33
308,2,677,19.39,2005-10-25 18:34:39
309,3,732,15.62,2005-07-02 21:59:32
310,3,455,5.37,2006-07-02 09:40:33
311,2,508,15.35,2008-05-01 15:27:31
312,3,575,15.44,2009-10-14 03:35:00
313,2,815,17.29,2008-12-13 10:30:56
314,3,541,7.73,2008-11-26 14:05:36
315,1,314,18.8,2006-07-11 01:49:08
316,1,383,5.01,2008-10-06 18:13:41
317,3,129,19.03,2007-04-19 23:26:54
318,2,521,9.73,2007-04-08 02:50:59
319,1,629,14.06,2006-07-16 07:30:54
320,1,576,6.12,2007-03-11 21:58:37
321,1,335,11.37,2006-09-07 16:08:20
322,2,376,13.04,2008-09-08 08:34:15
323,1,340,10.34,2009-11-25 04:13:51
324,3,42,9.92,2009-02-12 16:15:10
325,2,80,19.31,2007-04-06 02:31:41
326,1,752,18.5,2005-05-05 00:01:30
327,2,272,15.27,2005-02-19 22:21:40
328,1,563,5.31,2007-01-04 20:28:47
329,2,786,6.16,2008-10-15 14:26:05
330,2,203,11.86,2006-10-05 11:34:11
331,1,298,13.87,2008-07-20 18:25:39
332,3,987,11.46,2009-05-26 03:37:13
333,1,442,12.79,2007-11-03 13:50:56
334,3,987,15.47,2009-10-14 04:28:16
335,1,944,19.45,2006-05-02 11:06:10
336,1,989,17.78,2009-10-24 04:24:30
337,2,954,10.48,2007-09-10 09:02:36
338,2,456,11.47,2006-05-24 03:31:31
339,2,207,18.6,2008-10-25 01:49:00
340,3,987,16.14,2005-06-13 07:41:13
341,2,870,13.12,2005-03-19 01:57:45
342,1,139,17.66,2007-01-02 05:43:19
343,3,192,16.38,2006-05-14 06:19:11
344,2,319,19.88,2007-02-17 11:30:07
345,3,291,10.99,2008-10-03 08:27:10
346,2,92,10.63,2006-05-04 11:21:48
347,3,400,19.19,2006-04-06 21:32:11
348,3,652,17.77,2008-11-04 23:48:23
349,2,710,9.81,2009-09-16 04:13:38
350,3,145,11.03,2005-12-08 03:01:51
351,3,4,7.19,2006-01-19 10:16:16
352,2,194,6.13,2007-09-22 18:52:56
353,3,167,6.54,2005-08-27 10:07:19
354,3,380,14.04,2008-12-09 13:19:53
355,2,328,14.41,2005-01-13 08:35:36
356,1,13,11.25,2005-08-05 08:53:54
357,3,226,15.8,2005-11-15 16:26:35
358,2,175,7.72,2007-10-15 15:58:56
359,1,820,13.35,2006-05-31 16:40:41
360,2,773,19.9,2005-12-30 16:05:28
361,2,686,19.52,2005-05-22 22:43:25
362,2,201,13.6,2005-10-18 14:15:26
363,1,635,9.76,2007-11-03 00:44:03
364,2,660,13.19,2007-01-20 22:05:15
365,1,386,18.69,2005-02-18 23:24:09
366,1,77,19.14,2005-01-28 06:58:39
367,1,338,10.41,2006-06-23 19:33:17
368,2,653,6.82,2009-03-18 07:55:49
369,1,768,6.22,2008-04-26 13:47:49
370,2,916,18.84,2008-01-31 22:00:52
371,1,407,17.32,2008-07-25 09:30:40
372,3,412,10.61,2008-12-20 06:21:24
373,2,334,8.56,2008-07-25 10:04:10
374,2,477,9.39,2005-12-16 08:01:22
375,3,103,18.05,2006-05-18 18:32:30
376,1,134,6.48,2006-03-11 16:08:55
377,1,928,16.51,2007-02-14 19:35:48
378,2,59,13.21,2005-05-05 13:07:27
379,2,727,6.28,2005-01-19 04:30:56
380,3,450,13.6,2006-07-28 07:45:27
381,2,328,12.68,2008-08-29 01:51:07
382,2,651,19.92,2007-12-08 10:01:26
383,2,10,14.17,2005-12-18 20:54:35
384,2,811,13.45,2009-10-22 09:21:39
385,2,568,5.52,2005-03-07 02:27:37
386,1,115,7.83,2007-02-17 18:06:59
387,2,801,7.61,2008-04-09 19:19:54
388,2,11,9.03,2009-10-23 20:47:07
389,2,99,11.1,2006-03-15 03:20:52
390,3,392,6.96,2006-08-06 21:22:26
391,1,998,9.25,2006-01-29 22:00:42
392,3,47,5.64,2006-07-09 17:32:41
393,1,111,6.3,2007-03-26 15:02:16
394,1,555,19.44,2009-02-23 04:21:01
395,3,727,13.0,2008-05-20 14:53:48
396,2,950,7.77,2006-10-25 13:22:38
397,1,965,14.9,2005-06-04 23:36:02
398,3,585,14.06,2005-11-12 16:59:37
399,3,361,17.44,2005-05-12 16:43:09
400,3,495,16.49,2008-04-09 16:19:28
401,1,583,11.85,2008-12-14 11:48:20
402,2,19,5.48,2008-08-30 01:32:24
403,3,613,14.16,2005-04-27 15:43:06
404,1,17,16.09,2006-08-21 05:00:54
405,3,164,17.09,2007-10-23 17:08:20
406,2,932,14.28,2005-03-07 03:20:39
407,2,954,17.84,2008-10-02 05:38:31
408,3,104,17.64,2007-09-06 00:49:44
409,2,119,13.79,2006-03-13 16:56:28
410,3,768,11.48,2007-10-31 05:58:46
411,3,546,5.63,2008-03-18 05:41:08
412,2,9,14.72,2008-07-21 08:13:58
413,3,221,5.55,2005-02-26 12:26:53
414,2,266,15.46,2006-07-04 19:31:50
415,1,794,5.16,2009-04-20 07:00:34
416,2,264,14.4,2006-05-13 22:44:13
417,2,842,7.16,2009-12-15 23:34:44
418,1,908,9.59,2008-01-30 15:39:18
419,2,983,5.77,2005-09-23 08:42:16
420,1,70,16.78,2008-08-07 19:50:40
421,2,337,10.86,2007-06-29 19:26:27
422,3,160,18.97,2005-03-22 23:38:00
423,3,216,10.4,2006-05-05 00:36:13
424,1,476,19.85,2009-05-26 16:01:22
425,2,384,14.42,2009-11-22 00:49:46
426,2,616,14.54,2008-10-29 00:17:06
427,2,874,16.97,2009-12-14 04:42:50
428,3,596,17.79,2008-11-07 18:46:40
429,1,304,13.7,2009-12-06 06:03:56
430,2,76,10.39,2008-01-31 21:56:35
431,3,207,6.5,2009-04-24 04:05:06
432,1,377,8.15,2005-01-06 07:31:10
433,1,291,8.4,2009-03-21 06:42:36
434,1,675,13.21,2005-05-27 02:32:30
435,3,218,13.8,2005-03-20 07:39:39
436,1,304,14.02,2005-08-29 03:59:59
437,1,291,5.75,2005-06-11 07:41:13
438,2,45,14.87,2009-12-02 16:21:05
439,2,50,13.43,2005-06-21 16:42:05
440,1,530,10.09,2006-07-21 21:19:15
441,1,443,16.08,2008-08-06 05:50:26
442,2,972,15.36,2007-12-26 12:45:48
443,2,523,12.61,2005-03-07 16:26:53
444,2,524,6.94,2006-06-20 12:31:55
445,3,582,18.97,2006-05-21 20:42:06
446,1,520,14.99,2006-04-15 10:30:47
447,3,528,11.56,2005-02-15 22:41:33
448,1,349,5.4,2006-09-26 01:29:48
449,1,78,14.39,2005-12-03 23:33:55
450,2,612,15.83,2009-04-11 18:56:00
451,2,133,11.99,2008-05-26 00:47:39
452,2,425,13.62,2006-09-30 10:21:01
453,2,99,8.67,2007-05-30 10:03:50
454,1,626,19.02,2008-07-04 12:38:50
455,2,494,7.96,2005-03-25 02:24:40
456,2,286,18.2,2007-07-26 03:56:39
457,2,910,7.1,2007-07-17 14:18:50
458,1,364,17.54,2006-08-21 03:13:08
459,2,546,14.41,2008-04-18 16:21:49
460,3,234,18.56,2007-07-30 06:08:36
461,3,571,18.58,2005-02-01 23:51:47
462,2,60,11.44,2006-05-30 12:03:59
463,1,199,9.62,2005-10-04 06:10:42
464,2,121,17.7,2006-12-03 13:51:54
465,3,216,11.74,2007-09-23 17:00:04
466,1,58,12.19,2005-02-01 08:58:04
467,3,461,14.01,2005-01-09 21:49:18
468,3,288,19.07,2006-07-18 13:49:04
469,2,235,15.13,2009-01-11 21:20:10
470,1,278,13.18,2008-07-03 22:31:09
471,2,777,19.56,2005-03-30 06:55:59
472,3,272,19.54,2006-12-08 08:57:26
473,1,7,8.63,2008-10-28 18:03:44
474,1,491,14.18,2009-02-03 20:14:38
475,2,211,10.0,2006-09-09 18:41:26
476,1,217,16.32,2007-03-21 06:45:17
477,1,70,9.74,2007-02-22 12:07:54
478,3,491,11.3,2006-04-16 12:37:03
479,3,831,19.12,2008-10-31 15:00:47
480,2,42,14.75,2008-08-08 15:47:57
481,2,599,7.01,2007-01-03 02:21:12
482,1,45,6.72,2005-10-06 22:28:58
483,2,930,14.4,2008-02-11 18:55:57
484,1,236,8.29,2006-02-18 07:37:03
485,1,794,18.39,2005-05-19 14:59:09
486,1,987,19.2,2006-01-04 01:07:53
487,3,318,18.1,2005-11-29 02:36:39
488,2,928,16.9,2009-12-12 23:59:51
489,1,515,17.62,2009-01-16 12:51:03
490,1,603,9.07,2006-06-29 07:17:18
491,1,49,18.74,2008-05-12 05:10:07
492,2,381,6.48,2006-06-18 12:04:49
493,3,386,13.24,2005-12-30 03:36:11
494,1,974,6.81,2006-01-06 09:57:07
495,1,33,8.92,2009-04-13 05:00:04
496,1,87,10.02,2006-03-25 23:32:53
497,2,229,19.25,2007-11-17 01:38:18
498,3,83,16.32,2006-03-01 21:22:38
499,3,731,9.07,2006-05-16 11:22:35
500,2,788,10.38,2007-03-17 08:59:06
501,1,589,15.24,2007-03-26 01:43:25
502,2,22,17.31,2008-07-31 14:33:41
503,2,569,19.71,2007-01-08 01:52:08
504,2,504,16.38,2009-09-12 17:44:38
505,2,924,14.63,2009-10-11 15:56:59
506,1,171,9.35,2006-10-16 06:05:40
507,3,35,15.66,2006-05-28 22:18:17
508,1,123,15.35,2006-09-12 01:58:30
509,3,806,15.43,2008-12-05 18:23:08
510,3,720,14.35,2006-02-04 14:50:16
511,3,197,7.87,2008-04-13 15:27:22
512,3,3,13.48,2005-05-07 18:31:22
513,3,985,10.75,2006-08-25 02:29:23
514,2,494,6.99,2007-05-14 22:54:52
515,2,897,11.5,2006-12-04 15:51:19
516,2,240,18.55,2007-04-14 11:54:56
517,3,386,9.18,2008-09-26 14:42:32
518,1,806,8.52,2008-09-27 13:16:52
519,3,693,8.91,2009-04-07 23:33:39
520,2,489,15.62,2005-07-02 23:54:39
521,2,779,11.82,2005-09-22 18:52:51
522,1,403,18.42,2005-10-27 11:54:19
523,1,537,5.61,2009-05-30 22:26:09
524,3,896,9.94,2008-09-01 23:58:43
525,3,790,14.88,2006-01-07 20:08:12
526,2,619,7.49,2008-11-27 16:48:01
527,2,64,14.81,2006-12-17 08:24:57
528,3,222,15.64,2006-12-08 14:55:07
529,1,843,18.78,2007-08-03 01:00:41
530,3,203,19.74,2006-12-01 08:25:47
531,1,531,17.46,2009-03-26 01:32:34
532,3,506,7.0,2005-06-20 23:31:31
533,1,44,17.81,2007-04-06 07:28:43
534,3,963,14.98,2005-03-03 12:05:04
535,3,733,7.92,2008-04-29 11:24:16
536,2,138,11.78,2005-10-18 15:23:48
537,2,977,19.84,2007-05-05 14:24:54
538,3,180,6.09,2008-09-16 02:29:22
539,3,734,9.59,2006-08-27 00:00:08
540,2,298,6.84,2008-05-19 21:20:34
541,2,440,5.88,2007-10-05 00:00:23
542,2,589,10.63,2009-01-13 12:23:09
543,3,753,10.26,2005-09-13 22:25:26
544,3,324,11.4,2008-12-31 15:23:40
545,1,666,14.16,2009-10-29 02:39:50
546,3,544,6.13,2008-08-06 06:59:07
547,1,332,15.75,2006-06-12 09:25:09
548,1,607,15.52,2007-05-24 16:30:25
549,2,455,16.13,2008-09-21 12:46:37
550,3,376,18.28,2005-06-28 23:08:48
551,3,818,7.59,2008-08-03 15:40:23
552,1,610,5.49,2007-11-26 07:50:26
553,2,870,14.0,2005-08-02 13:43:41
554,1,154,9.06,2005-03-28 11:39:58
555,2,907,16.12,2008-11-29 10:15:54
556,2,218,19.34,2006-04-07 03:52:36
557,1,635,13.73,2006-03-13 00:28:01
558,1,941,9.19,2009-04-23 23:14:12
559,1,232,7.8,2005-03-28 00:30:00
560,3,707,13.69,2006-08-18 19:34:12
561,3,61,17.9,2008-10-27 10:43:42
562,2,168,5.52,2007-04-16 08:18:23
563,2,677,14.79,2008-10-30 15:27:05
564,1,569,17.88,2009-06-26 17:25:06
565,3,926,17.01,2007-04-19 11:54:24
566,3,152,17.76,2005-07-07 17:28:43
567,1,136,19.84,2007-10-12 09:44:43
568,3,315,12.74,2009-01-22 08:52:27
569,2,154,7.82,2009-08-09 22:30:58
570,3,824,12.85,2006-01-24 06:16:11
571,1,429,12.82,2007-09-18 02:17:29
572,1,576,11.77,2006-11-16 00:20:08
573,3,618,9.93,2005-10-30 12:33:23
574,3,298,8.32,2005-03-29 23:39:02
575,2,378,13.07,2008-11-07 06:17:36
576,2,798,13.17,2005-12-14 02:23:07
577,1,705,6.38,2006-04-23 14:09:31
578,1,146,18.26,2009-05-08 20:51:17
579,3,978,5.86,2009-06-22 15:46:36
580,2,573,10.51,2008-11-30 03:53:28
581,3,79,16.81,2009-08-10 04:24:13
582,1,993,13.61,2007-08-08 15:48:21
583,1,304,8.88,2006-12-17 17:39:49
584,2,618,6.38,2005-07-24 16:40:00
585,1,798,15.41,2007-06-05 20:11:54
586,3,479,19.92,2006-03-05 06:07:38
587,3,202,9.45,2007-11-13 17:56:05
588,1,713,18.14,2009-03-21 15:03:58
589,1,736,8.14,2006-04-27 22:44:30
590,3,677,6.01,2007-02-12 18:59:39
591,2,494,11.58,2006-05-05 14:40:30
592,2,647,14.99,2005-12-30 18:19:59
593,2,820,19.03,2008-01-28 03:18:49
594,1,899,8.08,2008-12-06 01:25:47
595,1,651,15.99,2006-12-02 20:34:12
596,3,386,12.02,2006-11-27 12:38:25
597,1,858,7.62,2006-04-09 07:42:47
598,3,103,7.1,2006-11-12 03:57:54
599,3,172,17.18,2006-08-22 11:02:09
600,1,167,14.09,2007-03-30 18:32:53
601,1,406,18.89,2008-03-07 06:34:46
602,3,65,8.98,2006-03-22 10:20:15
603,1,797,16.9,2008-10-12 06:55:33
604,2,88,12.58,2006-11-09 16:15:19
605,2,372,5.58,2008-12-21 17:18:53
606,2,716,10.25,2009-04-22 08:59:38
607,1,91,19.66,2007-03-04 12:13:19
